,ZAI,Reaction MT,Extrapolation Size [d],Previous Steps,Extrapolation Scheme,Absolute Relative Error [%],Axial Node,ZAI Reaction,Step size $[d]$
459,641550,102,1.0,2,constant,0.08848951462332444,9,"Gd155 $(n, \gamma )$",1
460,641550,102,1.0,2,linear,0.3209772414339618,9,"Gd155 $(n, \gamma )$",1
461,641550,102,1.0,2,quadratic,0.06325828845745729,9,"Gd155 $(n, \gamma )$",1
474,541350,102,1.0,3,constant,0.11931791853942997,9,"Xe135 $(n, \gamma )$",1
475,541350,102,1.0,3,linear,0.07095361660723887,9,"Xe135 $(n, \gamma )$",1
476,541350,102,1.0,3,quadratic,0.34897595106742063,9,"Xe135 $(n, \gamma )$",1
477,641550,102,1.0,3,constant,0.16909427106988062,9,"Gd155 $(n, \gamma )$",1
478,641550,102,1.0,3,linear,0.04352386513544193,9,"Gd155 $(n, \gamma )$",1
479,641550,102,1.0,3,quadratic,0.6727275676364997,9,"Gd155 $(n, \gamma )$",1
488,541350,102,5.0,1,constant,0.7900542603303196,0,"Xe135 $(n, \gamma )$",5
489,541350,102,5.0,1,linear,0.02059832719901733,0,"Xe135 $(n, \gamma )$",5
490,641550,102,5.0,1,constant,0.740511020679846,0,"Gd155 $(n, \gamma )$",5
491,641550,102,5.0,1,linear,0.03781976612258209,0,"Gd155 $(n, \gamma )$",5
504,541350,102,5.0,2,constant,1.021966128399865,0,"Xe135 $(n, \gamma )$",5
505,541350,102,5.0,2,linear,0.05601299501483137,0,"Xe135 $(n, \gamma )$",5
506,541350,102,5.0,2,quadratic,0.13551531051989585,0,"Xe135 $(n, \gamma )$",5
507,641550,102,5.0,2,constant,0.9554113361807337,0,"Gd155 $(n, \gamma )$",5
508,641550,102,5.0,2,linear,0.05126679407727597,0,"Gd155 $(n, \gamma )$",5
509,641550,102,5.0,2,quadratic,0.17144960642241358,0,"Gd155 $(n, \gamma )$",5
522,541350,102,5.0,3,constant,1.2699139748808763,0,"Xe135 $(n, \gamma )$",5
523,541350,102,5.0,3,linear,0.04309386874525867,0,"Xe135 $(n, \gamma )$",5
524,541350,102,5.0,3,quadratic,0.02750960803548086,0,"Xe135 $(n, \gamma )$",5
525,641550,102,5.0,3,constant,1.1860278656036671,0,"Gd155 $(n, \gamma )$",5
526,641550,102,5.0,3,linear,0.04210600628309358,0,"Gd155 $(n, \gamma )$",5
527,641550,102,5.0,3,quadratic,0.009328875643488388,0,"Gd155 $(n, \gamma )$",5
536,541350,102,5.0,1,constant,0.9145039819205225,1,"Xe135 $(n, \gamma )$",5
537,541350,102,5.0,1,linear,0.030739629644416233,1,"Xe135 $(n, \gamma )$",5
538,641550,102,5.0,1,constant,0.8296486473636344,1,"Gd155 $(n, \gamma )$",5
539,641550,102,5.0,1,linear,0.0031696223394606093,1,"Gd155 $(n, \gamma )$",5
552,541350,102,5.0,2,constant,1.2400214797906095,1,"Xe135 $(n, \gamma )$",5
553,541350,102,5.0,2,linear,0.05161221767453483,1,"Xe135 $(n, \gamma )$",5
554,541350,102,5.0,2,quadratic,0.0005692524006839506,1,"Xe135 $(n, \gamma )$",5
555,641550,102,5.0,2,constant,1.1322595357207588,1,"Gd155 $(n, \gamma )$",5
556,641550,102,5.0,2,linear,0.051066137691901936,1,"Gd155 $(n, \gamma )$",5
557,641550,102,5.0,2,quadratic,0.08452326238646002,1,"Gd155 $(n, \gamma )$",5
570,541350,102,5.0,3,constant,1.587929572092972,1,"Xe135 $(n, \gamma )$",5
571,541350,102,5.0,3,linear,0.10161155354676543,1,"Xe135 $(n, \gamma )$",5
572,541350,102,5.0,3,quadratic,0.0364321536525658,1,"Xe135 $(n, \gamma )$",5
573,641550,102,5.0,3,constant,1.4502342879179508,1,"Gd155 $(n, \gamma )$",5
574,641550,102,5.0,3,linear,0.09535280537992241,1,"Gd155 $(n, \gamma )$",5
575,641550,102,5.0,3,quadratic,0.049261213859619346,1,"Gd155 $(n, \gamma )$",5
584,541350,102,5.0,1,constant,0.9389331960742098,2,"Xe135 $(n, \gamma )$",5
585,541350,102,5.0,1,linear,0.10467933999966927,2,"Xe135 $(n, \gamma )$",5
586,641550,102,5.0,1,constant,0.8278971038341743,2,"Gd155 $(n, \gamma )$",5
587,641550,102,5.0,1,linear,0.06861173796748332,2,"Gd155 $(n, \gamma )$",5
600,541350,102,5.0,2,constant,1.297599700806007,2,"Xe135 $(n, \gamma )$",5
601,541350,102,5.0,2,linear,0.12627065874726284,2,"Xe135 $(n, \gamma )$",5
602,541350,102,5.0,2,quadratic,0.07229236187840105,2,"Xe135 $(n, \gamma )$",5
603,641550,102,5.0,2,constant,1.1581804310032418,2,"Gd155 $(n, \gamma )$",5
604,641550,102,5.0,2,linear,0.13150583110430603,2,"Gd155 $(n, \gamma )$",5
605,641550,102,5.0,2,quadratic,0.025729401737706326,2,"Gd155 $(n, \gamma )$",5
618,541350,102,5.0,3,constant,1.6609893065138381,2,"Xe135 $(n, \gamma )$",5
619,541350,102,5.0,3,linear,0.14111469038632363,2,"Xe135 $(n, \gamma )$",5
620,541350,102,5.0,3,quadratic,0.09051003707155614,2,"Xe135 $(n, \gamma )$",5
621,641550,102,5.0,3,constant,1.4931093445970767,2,"Gd155 $(n, \gamma )$",5
622,641550,102,5.0,3,linear,0.15652052723837961,2,"Gd155 $(n, \gamma )$",5
623,641550,102,5.0,3,quadratic,0.054674978692892395,2,"Gd155 $(n, \gamma )$",5
632,541350,102,5.0,1,constant,0.9694950911640632,3,"Xe135 $(n, \gamma )$",5
633,541350,102,5.0,1,linear,0.007012622720892203,3,"Xe135 $(n, \gamma )$",5
634,641550,102,5.0,1,constant,0.8536618383647054,3,"Gd155 $(n, \gamma )$",5
635,641550,102,5.0,1,linear,0.0324895085962118,3,"Gd155 $(n, \gamma )$",5
648,541350,102,5.0,2,constant,1.32129499766247,3,"Xe135 $(n, \gamma )$",5
649,541350,102,5.0,2,linear,0.054932211313718504,3,"Xe135 $(n, \gamma )$",5
650,541350,102,5.0,2,quadratic,0.09992987377265283,3,"Xe135 $(n, \gamma )$",5
651,641550,102,5.0,2,constant,1.1772031948017014,3,"Gd155 $(n, \gamma )$",5
652,641550,102,5.0,2,linear,0.0888046568295886,3,"Gd155 $(n, \gamma )$",5
653,641550,102,5.0,2,quadratic,0.05198321375365911,3,"Gd155 $(n, \gamma )$",5
666,541350,102,5.0,3,constant,1.6858052828424563,3,"Xe135 $(n, \gamma )$",5
667,541350,102,5.0,3,linear,0.0958391771856526,3,"Xe135 $(n, \gamma )$",5
668,541350,102,5.0,3,quadratic,0.045143758765719966,3,"Xe135 $(n, \gamma )$",5
669,641550,102,5.0,3,constant,1.5127927440097277,3,"Gd155 $(n, \gamma )$",5
670,641550,102,5.0,3,linear,0.12697982943014052,3,"Gd155 $(n, \gamma )$",5
671,641550,102,5.0,3,quadratic,0.003655069717001247,3,"Gd155 $(n, \gamma )$",5
680,541350,102,5.0,1,constant,0.9665692536117376,4,"Xe135 $(n, \gamma )$",5
681,541350,102,5.0,1,linear,0.009427069831002832,4,"Xe135 $(n, \gamma )$",5
682,641550,102,5.0,1,constant,0.8638153116997449,4,"Gd155 $(n, \gamma )$",5
683,641550,102,5.0,1,linear,0.010920547556270144,4,"Gd155 $(n, \gamma )$",5
696,541350,102,5.0,2,constant,1.3095771173591508,4,"Xe135 $(n, \gamma )$",5
697,541350,102,5.0,2,linear,0.03849386847665226,4,"Xe135 $(n, \gamma )$",5
698,541350,102,5.0,2,quadratic,0.08130847729241886,4,"Xe135 $(n, \gamma )$",5
699,641550,102,5.0,2,constant,1.175232926178893,4,"Gd155 $(n, \gamma )$",5
700,641550,102,5.0,2,linear,0.05059853701065986,4,"Gd155 $(n, \gamma )$",5
701,641550,102,5.0,2,quadratic,0.048596436625159,4,"Gd155 $(n, \gamma )$",5
714,541350,102,5.0,3,constant,1.677429238057071,4,"Xe135 $(n, \gamma )$",5
715,541350,102,5.0,3,linear,0.10016261695463546,4,"Xe135 $(n, \gamma )$",5
716,541350,102,5.0,3,quadratic,0.0839598406824793,4,"Xe135 $(n, \gamma )$",5
717,641550,102,5.0,3,constant,1.5152259734303009,4,"Gd155 $(n, \gamma )$",5
718,641550,102,5.0,3,linear,0.11766889991871032,4,"Gd155 $(n, \gamma )$",5
719,641550,102,5.0,3,quadratic,0.07480575076030949,4,"Gd155 $(n, \gamma )$",5
728,541350,102,5.0,1,constant,0.9986747725422296,5,"Xe135 $(n, \gamma )$",5
729,541350,102,5.0,1,linear,0.005942724025853607,5,"Xe135 $(n, \gamma )$",5
730,641550,102,5.0,1,constant,0.8926209997354828,5,"Gd155 $(n, \gamma )$",5
731,641550,102,5.0,1,linear,0.013224014810930829,5,"Gd155 $(n, \gamma )$",5
744,541350,102,5.0,2,constant,1.3567238950990435,5,"Xe135 $(n, \gamma )$",5
745,541350,102,5.0,2,linear,0.05229597142739628,5,"Xe135 $(n, \gamma )$",5
746,541350,102,5.0,2,quadratic,0.06358714707628277,5,"Xe135 $(n, \gamma )$",5
747,641550,102,5.0,2,constant,1.2219357019013222,5,"Gd155 $(n, \gamma )$",5
748,641550,102,5.0,2,linear,0.06795674277824126,5,"Gd155 $(n, \gamma )$",5
749,641550,102,5.0,2,quadratic,0.06887507713997376,5,"Gd155 $(n, \gamma )$",5
762,541350,102,5.0,3,constant,1.7435952291811496,5,"Xe135 $(n, \gamma )$",5
763,541350,102,5.0,3,linear,0.12152870632847756,5,"Xe135 $(n, \gamma )$",5
764,541350,102,5.0,3,quadratic,0.08052391055004549,5,"Xe135 $(n, \gamma )$",5
